Linha,Linha nome,Itinerário,Sentido
281,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA PACHECOS,ITI VOLTA - ESCOLA MUNICIPAL /,PC2
281,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA PACHECOS,ITI VOLTA - P. IMARUIM /,PC2
281,PORTAL DA BARRA / PALHOÇA - P.IMARUIM VIA PACHECOS,ITI VOLTA - PALHOÇA / PORTAL,PC2
284,T.NOVA / FPOLIS VIA C.NOVO/PALHOÇA/P.IMAR/IVO SILV,ITI IDA - T.NOVA / FPOLIS VIA C.,PC1
285,T.NOVA / FPOLIS VIA T.BELA /BR101/VIA EXP/IVO SILV,ITI IDA - RÓTULA PENITENCIÁRIA,PC1
285,T.NOVA / FPOLIS VIA T.BELA /BR101/VIA EXP/IVO SILV,ITI IDA - TERRA NOVA / FPOLIS,PC1
286,TERRA NOVA / FPOLIS - EXECUTIVO,ITI IDA - TERRA NOVA / FPOLIS,PC1
286,TERRA NOVA / FPOLIS - EXECUTIVO,ITI VOLTA - FPOLIS / TERRA,PC2
287,T.NOVA / FPOLIS VIA C.NOVO/P.IMARUIM/IVO SILVEIRA,ITI IDA - TERRA NOVA /,PC1
287,T.NOVA / FPOLIS VIA C.NOVO/P.IMARUIM/IVO SILVEIRA,ITI VOLTA - FPOLIS / TERRA,PC2
288,T.NOVA / FPOLIS VIA C.NOVO/BR 101/EXP/IVO SILVEIRA,ITI IDA - TERRA NOVA / FPOLIS,PC1
288,T.NOVA / FPOLIS VIA C.NOVO/BR 101/EXP/IVO SILVEIRA,ITI VOLTA - FPOLIS / T. NOVA,PC2
0289,T.NOVA / FPOLIS VIA C.NOVO/BR/HOSP REG/IVO SILV,ITI IDA - TERRA NOVA /,PC1
302,FORMIGA / P.IMARUIM VIA GUARDA/ARIRIU/ELZA LUCHI,ITI IDA - ARIRIU FORMIGA /,PC1
303,FORMIGA / PALHOÇA (PRAÇA) VIA GUARDA/ARIRIU,ITI IDA - ARIRIU FORMIGA /,PC1
303,FORMIGA / PALHOÇA (PRAÇA) VIA GUARDA/ARIRIU,ITI VOLTA - PALHOÇA / ARIRIU,PC2
311,JOMAR / PALHOCA (PRACA) VIA GUARDA /ARIRIU,ITI IDA - JOMAR / PALHOCA,PC1
311,JOMAR / PALHOCA (PRACA) VIA GUARDA /ARIRIU,ITI IDA - JOMAR /ENTRADA DA,PC1
311,JOMAR / PALHOCA (PRACA) VIA GUARDA /ARIRIU,ITI IDA JOMAR / GUARDA (POSTO,PC1
311,JOMAR / PALHOCA (PRACA) VIA GUARDA /ARIRIU,ITI VOLTA - ENTRADA DA,PC2
311,JOMAR / PALHOCA (PRACA) VIA GUARDA /ARIRIU,ITI VOLTA - PALHOCA (CAIXA,PC2
311,JOMAR / PALHOCA (PRACA) VIA GUARDA /ARIRIU,ITI VOLTA - PALHOCA / JOMAR,PC2
311,JOMAR / PALHOCA (PRACA) VIA GUARDA /ARIRIU,ITI VOLTA - POSTO DE SAÚDE,PC2
323,GUARDA / PALHOÇA (PRAÇA) VIA FORMIGA,ITI IDA - GUARDA / PALHOÇA,PC1
323,GUARDA / PALHOÇA (PRAÇA) VIA FORMIGA,ITI VOLTA - PALHOÇA (CAIXA,PC2
333,GUARDA / PALHOÇA (PRAÇA) VIA ARIRIU,ITI IDA - GUARDA / PALHOÇA,PC1
333,GUARDA / PALHOÇA (PRAÇA) VIA ARIRIU,ITI VOLTA - PALHOÇA (CAIXA,PC2
350,GUARDA / FPOLIS VIA FORM/GUARDA/BR 101/EXP/I.SILV,ITI IDA - GUARDA / FPOLIS VIA,PC1
350,GUARDA / FPOLIS VIA FORM/GUARDA/BR 101/EXP/I.SILV,ITI VOLTA - FPOLIS/GUARDA VIA,PC2
352,GUARDA / FPOLIS VIA FORM/GUARDA/P.IMARUIM/IVO,ITI IDA - GUARDA / FPOLIS VIA,PC1
352,GUARDA / FPOLIS VIA FORM/GUARDA/P.IMARUIM/IVO,ITI VOLTA - FLORIANOPOLIS /,PC2
352,GUARDA / FPOLIS VIA FORM/GUARDA/P.IMARUIM/IVO,ITI VOLTA - FPOLIS / GUARDA,PC2
353,ALTO ARIRIU / PONTE DO IMARUIM,ITI IDA - ALTO ARIRIU / COLÉGIO,PC1
353,ALTO ARIRIU / PONTE DO IMARUIM,ITI IDA - ALTO ARIRIU / PONTE,PC1
353,ALTO ARIRIU / PONTE DO IMARUIM,ITI IDA - MORRO DOS QUADROS,PC1
353,ALTO ARIRIU / PONTE DO IMARUIM,ITI VOLTA - PONTE DO IAMRUIM,PC2
353,ALTO ARIRIU / PONTE DO IMARUIM,ITI VOLTA - PONTE DO IMARUIM,PC2
353,ALTO ARIRIU / PONTE DO IMARUIM,ITI VOLTA - PONTE IMARUIM /,PC2
354,FAZENDA JOMAR / FLORIANÓPOLIS,ITI IDA - GUARDA DO TABULEIRO,PC1
354,FAZENDA JOMAR / FLORIANÓPOLIS,ITI IDA - JOMAR / FPOLIS VIA,PC1
355,ARIRIU / FPOLIS VIA PONTE IMARUIM/IVO SILVEIRA,ITI IDA - ARIRIU /,PC1
355,ARIRIU / FPOLIS VIA PONTE IMARUIM/IVO SILVEIRA,ITI VOLTA - FLORIANÓPOLIS /,PC2
359,FORMIGA / FPOLIS VIA GUARDA/ARIRIU/P.IMAR/IVO SILV,ITI IDA - FORMIGA / FPOLIS VIA,PC1
359,FORMIGA / FPOLIS VIA GUARDA/ARIRIU/P.IMAR/IVO SILV,ITI VOLTA - FPOLIS / FORMIGA,PC2
359,FORMIGA / FPOLIS VIA GUARDA/ARIRIU/P.IMAR/IVO SILV,ITI VOLTA - FPOLIS / GUARDA,PC2
360,PACHECOS / FPOLIS VIA BR 101/EXP/IVO SILVEIRA,ITI IDA - PACHECOS /,PC1
361,BARRA /FPOLIS VIA R.GRANDE/PALHOÇA/BR 101/EXP,ITI VOLTA - FLORIANÓPOLIS /,PC2
362,BARRA /FPOLIS VIA PACHECOS/P.IMARUIM/I.SILVEIRA,ITI IDA - BARRA /,PC1
362,BARRA /FPOLIS VIA PACHECOS/P.IMARUIM/I.SILVEIRA,ITI VOLTA - FLORIANÓPOLIS /,PC2
366,BARRA / HOSPITAL REGIONAL VIA R.GRANDE/P.IMARUIM,ITI IDA - ENT. DO PACHECOS /,PC1
367,PCH / FPOLIS VIA PORTAL/VN/NPH/MIR/PH/BR/HR/IS,ITI IDA - PCH / FPOLIS VIA,PC1
368,STAR FIT / FPOLIS VIA PT/VN/NPH/MIR/BR 101/EXP/I.S,ITI IDA - STAR FIT / FPOLIS VIA,PC1
369,BARRA / FPOLIS VIA R.GRANDE/P.IMARUIM/I.SILVEIRA,ITI IDA - BARRA / FPOLIS VIA,PC1
